round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,1,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,2,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,3,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,4,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,5,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,6,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,7,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,1,0.75152,0.87567,0.50148,0.43196,0.75152,0.75152,0.75152
2,2,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
2,3,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
2,4,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,5,0.75189,0.87581,0.50222,0.43351,0.75189,0.75189,0.75189
2,6,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,7,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,8,0.75152,0.87567,0.50148,0.43196,0.75152,0.75152,0.75152
2,9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
3,0,0.75705,0.8404,0.51331,0.45688,0.75705,0.75705,0.75705
3,1,0.76073,0.82803,0.52168,0.4741,0.76073,0.76073,0.76073
3,2,0.76147,0.82578,0.52341,0.47759,0.76147,0.76147,0.76147
3,3,0.75649,0.83715,0.5122,0.45465,0.75649,0.75649,0.75649
3,4,0.75926,0.81447,0.51897,0.46896,0.75926,0.75926,0.75926
3,5,0.75999,0.81866,0.52045,0.47185,0.75999,0.75999,0.75999
3,6,0.75612,0.83469,0.51146,0.45315,0.75612,0.75612,0.75612
3,7,0.75705,0.8404,0.51331,0.45688,0.75705,0.75705,0.75705
3,8,0.75741,0.82379,0.51454,0.45969,0.75741,0.75741,0.75741
3,9,0.75539,0.84274,0.50973,0.44947,0.75539,0.75539,0.75539
4,0,0.77878,0.79685,0.56703,0.55822,0.77878,0.77878,0.77878
4,1,0.78836,0.77786,0.59761,0.60627,0.78836,0.78836,0.78836
4,2,0.79038,0.77658,0.60389,0.61522,0.79038,0.79038,0.79038
4,3,0.77565,0.80298,0.55828,0.54314,0.77565,0.77565,0.77565
4,4,0.78928,0.77976,0.59945,0.60889,0.78928,0.78928,0.78928
4,5,0.78431,0.79822,0.58059,0.5801,0.78431,0.78431,0.78431
4,6,0.77952,0.80252,0.56777,0.55924,0.77952,0.77952,0.77952
4,7,0.78689,0.78149,0.59218,0.59827,0.78689,0.78689,0.78689
4,8,0.78375,0.79806,0.57923,0.57797,0.78375,0.78375,0.78375
4,9,0.77878,0.80209,0.56605,0.55638,0.77878,0.77878,0.77878
5,0,0.80457,0.77949,0.64469,0.66746,0.80457,0.80457,0.80457
5,1,0.81157,0.77312,0.6738,0.69835,0.81157,0.81157,0.81157
5,2,0.8123,0.77185,0.67799,0.70232,0.8123,0.8123,0.8123
5,3,0.80457,0.77417,0.64864,0.67167,0.80457,0.80457,0.80457
5,4,0.81194,0.76874,0.68046,0.70424,0.81194,0.81194,0.81194
5,5,0.80899,0.77251,0.66517,0.68948,0.80899,0.80899,0.80899
5,6,0.80291,0.7775,0.64087,0.66287,0.80291,0.80291,0.80291
5,7,0.80899,0.77202,0.66566,0.68994,0.80899,0.80899,0.80899
5,8,0.8088,0.77902,0.65862,0.68313,0.8088,0.8088,0.8088
5,9,0.80402,0.77296,0.64778,0.67061,0.80402,0.80402,0.80402
6,0,0.81765,0.77757,0.69118,0.7157,0.81765,0.81765,0.81765
6,1,0.82188,0.77305,0.71622,0.7362,0.82188,0.82188,0.82188
6,2,0.82059,0.77178,0.71264,0.73305,0.82059,0.82059,0.82059
6,3,0.81323,0.7758,0.67688,0.70176,0.81323,0.81323,0.81323
6,4,0.8217,0.77393,0.71362,0.73436,0.8217,0.8217,0.8217
6,5,0.82078,0.77765,0.70338,0.72663,0.82078,0.82078,0.82078
6,6,0.8182,0.7763,0.695,0.71897,0.8182,0.8182,0.8182
6,7,0.81986,0.7736,0.70598,0.72799,0.81986,0.81986,0.81986
6,8,0.81894,0.77477,0.70018,0.72327,0.81894,0.81894,0.81894
6,9,0.81875,0.77584,0.69784,0.72142,0.81875,0.81875,0.81875
7,0,0.82262,0.77724,0.71177,0.73363,0.82262,0.82262,0.82262
7,1,0.82612,0.7771,0.72817,0.74647,0.82612,0.82612,0.82612
7,2,0.8252,0.77431,0.73003,0.74702,0.8252,0.8252,0.8252
7,3,0.82133,0.7837,0.69733,0.7224,0.82133,0.82133,0.82133
7,4,0.82151,0.76958,0.72214,0.73983,0.82151,0.82151,0.82151
7,5,0.82207,0.7743,0.71461,0.73524,0.82207,0.82207,0.82207
7,6,0.82244,0.77879,0.70844,0.73119,0.82244,0.82244,0.82244
7,7,0.82501,0.77608,0.72497,0.74377,0.82501,0.82501,0.82501
7,8,0.82428,0.77665,0.72028,0.74032,0.82428,0.82428,0.82428
7,9,0.82262,0.77625,0.7135,0.73481,0.82262,0.82262,0.82262
8,0,0.82538,0.77739,0.72398,0.74337,0.82538,0.82538,0.82538
8,1,0.82612,0.77422,0.73533,0.75078,0.82612,0.82612,0.82612
8,2,0.82299,0.77051,0.72781,0.74428,0.82299,0.82299,0.82299
8,3,0.82428,0.78342,0.70892,0.73259,0.82428,0.82428,0.82428
8,4,0.82593,0.7728,0.73842,0.75244,0.82593,0.82593,0.82593
8,5,0.82465,0.77418,0.72744,0.74508,0.82465,0.82465,0.82465
8,6,0.82501,0.7784,0.72028,0.74076,0.82501,0.82501,0.82501
8,7,0.8263,0.77529,0.73348,0.7498,0.8263,0.8263,0.8263
8,8,0.82722,0.78094,0.72545,0.74546,0.82722,0.82722,0.82722
8,9,0.82612,0.77635,0.7299,0.74753,0.82612,0.82612,0.82612
9,0,0.82888,0.78431,0.72656,0.7472,0.82888,0.82888,0.82888
9,1,0.82851,0.7779,0.73865,0.75428,0.82851,0.82851,0.82851
9,2,0.82778,0.77506,0.74261,0.75604,0.82778,0.82778,0.82778
9,3,0.82667,0.78611,0.71447,0.73786,0.82667,0.82667,0.82667
9,4,0.8287,0.7761,0.74495,0.75796,0.8287,0.8287,0.8287
9,5,0.82943,0.78123,0.73532,0.75293,0.82943,0.82943,0.82943
9,6,0.82907,0.78414,0.72767,0.74802,0.82907,0.82907,0.82907
9,7,0.82759,0.77767,0.73434,0.75115,0.82759,0.82759,0.82759
9,8,0.82999,0.78239,0.73544,0.75337,0.82999,0.82999,0.82999
9,9,0.82815,0.78177,0.72804,0.74767,0.82815,0.82815,0.82815
10,0,0.83164,0.78558,0.73654,0.75511,0.83164,0.83164,0.83164
10,1,0.83128,0.78205,0.74272,0.75845,0.83128,0.83128,0.83128
10,2,0.83128,0.78111,0.74519,0.75984,0.83128,0.83128,0.83128
10,3,0.8287,0.78548,0.72372,0.74527,0.8287,0.8287,0.8287
10,4,0.83146,0.78249,0.74259,0.7585,0.83146,0.83146,0.83146
10,5,0.83128,0.78339,0.73951,0.75661,0.83128,0.83128,0.83128
10,6,0.83036,0.78555,0.73075,0.75076,0.83036,0.83036,0.83036
10,7,0.83054,0.781,0.74149,0.75725,0.83054,0.83054,0.83054
10,8,0.83091,0.78313,0.73827,0.75565,0.83091,0.83091,0.83091
10,9,0.83128,0.78486,0.7363,0.75472,0.83128,0.83128,0.83128
11,0,0.83275,0.78748,0.73777,0.75657,0.83275,0.83275,0.83275
11,1,0.83459,0.78516,0.75233,0.76602,0.83459,0.83459,0.83459
11,2,0.83386,0.78344,0.75307,0.7659,0.83386,0.83386,0.83386
11,3,0.82999,0.7908,0.72063,0.74403,0.82999,0.82999,0.82999
11,4,0.83386,0.78459,0.74987,0.76418,0.83386,0.83386,0.83386
11,5,0.83367,0.78667,0.74382,0.7607,0.83367,0.83367,0.83367
11,6,0.83404,0.78864,0.74135,0.75953,0.83404,0.83404,0.83404
11,7,0.83459,0.78638,0.74912,0.76429,0.83459,0.83459,0.83459
11,8,0.83478,0.78945,0.74307,0.76102,0.83478,0.83478,0.83478
11,9,0.8357,0.78902,0.74838,0.76464,0.8357,0.8357,0.8357
12,0,0.83422,0.78986,0.73974,0.75872,0.83422,0.83422,0.83422
12,1,0.83551,0.78847,0.74875,0.76472,0.83551,0.83551,0.83551
12,2,0.83643,0.78832,0.7538,0.7681,0.83643,0.83643,0.83643
12,3,0.8322,0.79031,0.73025,0.75164,0.8322,0.8322,0.8322
